"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EPB41L3",-0.772349355728777,8.18001551212387,-4.16353861330846,0.000389838585444539,0.0689730201237549,0.172603882802917
"MAGEB1",0.237281069475281,3.40263912953629,4.16258938500521,0.000390751948996779,0.0689730201237549,0.170535926032952
"NDUFA5",-0.393938609205391,6.64718946371413,-4.16047814680991,0.000392791066116456,0.0689730201237549,0.165936506774448
"TNFRSF12A",0.440840014630424,7.62379603390958,4.15345507310839,0.000399650781433352,0.0692162305433132,0.150636995047122
"TMEM106B",-0.930546730319944,5.90123804832094,-4.14443961150802,0.000408631643209334,0.0694629770807492,0.130998429160044
"OXR1",-1.03742027311961,7.18560174462549,-4.14104617806297,0.000412063852017416,0.0694629770807492,0.123606839732227
"CEP170",-0.487749884043453,8.03628057802002,-4.12398075146111,0.000429764115507468,0.0697544028375024,0.0864384141543635
"PLCG1",0.256878424174759,7.36801181140224,4.12054301496845,0.00043342025910619,0.0697544028375024,0.078951798762473
"PEMT",0.267032226001928,7.00227490642845,4.11958384389022,0.000434445879064368,0.0697544028375024,0.0768629880921932
"BTBD3",-0.649301294095724,8.93870281855547,-4.11665574786143,0.000437591786546787,0.0697544028375024,0.0704865318038994
"ALG3",0.277085760032692,6.89932534049044,4.11315858295712,0.000441378804634991,0.0697544028375024,0.0628710887299935
"SUCLA2",-0.775744398066045,8.13762417851183,-4.09533195720147,0.000461195505420938,0.0712235155950704,0.0240564333991999
"RAB14",-0.359394156786212,6.76089452843329,-4.09467571860076,0.000461941649829611,0.0712235155950704,0.0226277343296752
"TRIM23",-0.681519326895993,5.8038201757955,-4.0878933243706,0.000469723905110763,0.0715508353291009,0.00786244765918553
"PITPNC1",0.520820509588382,6.46933624568116,4.07210360970231,0.00048834995819491,0.0735024823983124,-0.0265067412599489
"AZU1",0.31136641687544,4.65653571156915,4.05638283181509,0.000507623754673729,0.0755045544745878,-0.0607183523099462
"DPM1",-0.598513460182254,7.37020172770028,-4.04342685068621,0.000524074567275675,0.0757177460758803,-0.0889071205988046
"WWP1",-0.403369295136926,5.61501334434075,-4.04126936481907,0.000526865003504421,0.0757177460758803,-0.0936006751790073
"SORL1",-0.374732180094912,10.135118013887,-4.03195377079772,0.000539083941665518,0.0757177460758803,-0.113864600371441
"MT1E",0.701425845904221,9.67437904620811,4.03184084901317,0.000539233770411752,0.0757177460758803,-0.114110216315611
"HPF1",-0.40432946971308,8.0663077361804,-4.02740950296347,0.000545146206767953,0.0757177460758803,-0.123748454742894
"GSTK1",0.274196499213306,7.37148862055902,4.02496578737593,0.00054843417567114,0.0757177460758803,-0.12906325497381
"RGR",0.525516774294628,5.57051538027888,4.01664167193059,0.000559782556531749,0.0757177460758803,-0.147165532430041
"RCHY1",-0.371465461566962,6.76754770205677,-4.0154418972022,0.000561437333393765,0.0757177460758803,-0.149774434640536
"LRRC40",-0.31567334897567,7.25991565576635,-4.01434301162392,0.000562957219895021,0.0757177460758803,-0.152163904150798
"TPD52",-0.6094565601276,7.4661912892678,-4.00216817601262,0.000580072156719534,0.0768900345429588,-0.178634193499512
"RTRAF",-0.313235461138079,8.70442789554562,-3.99268005098805,0.0005937673530036,0.0768900345429588,-0.199258818104053
"SERPINH1",0.359029628607166,6.63283591435259,3.99201744539301,0.000594735657135984,0.0768900345429588,-0.200699000043751
"EID1",-0.476142382049361,8.0102222421582,-3.99115412034629,0.000595999634992483,0.0768900345429588,-0.202575419754517
"ATP2B1",-0.931786726308971,8.22623629784613,-3.9827180607544,0.00060849181574834,0.0770810128188285,-0.220909302467866
"NSD2",0.2074708418118,6.03066673852675,3.98192901547408,0.000609673438415158,0.0770810128188285,-0.222623953348579
"ZCCHC14",0.20805724700191,5.6004507104788,3.96682880711547,0.000632730113980835,0.0784337186416371,-0.255432265741712
"EXTL2",-0.525262373192181,8.78708564702279,-3.96417901346532,0.000636864366942007,0.0784337186416371,-0.26118838517205
"EIF1B",-0.479882333609767,10.0051540068993,-3.96282715455092,0.000638983866178013,0.0784337186416371,-0.264124884600423
"CLCN4",-0.323506812698616,6.97187741860317,-3.95833555181425,0.000646076325634851,0.0785184423802056,-0.273880879994709
"TSKS",0.335411913967507,4.77839520405194,3.95432576781547,0.000652473870066295,0.0785184423802056,-0.282589504719736
"EMID1",0.250209478702767,7.23579379875443,3.94754794219847,0.000663430860344286,0.0785184423802056,-0.297308060586472
"SH3TC1",0.327150799933536,4.8121894140957,3.9429938584844,0.000670895193403349,0.0785184423802056,-0.307196285275781
"MT2A",0.726872546496978,11.1288338221651,3.94085457782004,0.000674430234450095,0.0785184423802056,-0.311840909770687
"PPM1H",-0.665174777076191,7.78991910652811,-3.93599333049615,0.000682531942800722,0.0785184423802056,-0.322394349642706
"SSB",-0.399672246412654,7.03279699974993,-3.9356265638116,0.000683147090233537,0.0785184423802056,-0.32319052495746
"S1PR2",0.366017038071759,5.31421539402531,3.92208784974412,0.000706242898117017,0.0804417023503914,-0.352575248980211
"ACTR3",-0.452678955498928,8.46592237965088,-3.91636203446932,0.000716241792350385,0.0808521873275529,-0.36499966408245
"NAP1L2",-0.884344025837357,9.48754877004429,-3.90720196231296,0.000732530167771704,0.0819591054082978,-0.384872208588005
"PPP2R5E",-0.759442330420048,7.29464689069116,-3.89906221485996,0.000747311639457655,0.0828526694790881,-0.402527119250114
"RAP1GDS1",-0.549669956633548,8.16209070668679,-3.89563510912971,0.000753623110819831,0.0828526694790881,-0.409959258485025
"PDLIM3",0.24088131479953,5.19338799938766,3.88694940690169,0.000769856265206478,0.0839076962155647,-0.428792208192917
"LPGAT1",-0.798421709213405,5.64395102714708,-3.87861393761649,0.000785760067945854,0.0839789671292997,-0.446861408528537
"PLAUR",0.194403816359213,6.73743728115312,3.87411197735317,0.000794484412003593,0.0839789671292997,-0.456618717457665
"VSTM4",0.281533089402063,5.9513737270107,3.87291622688059,0.000796817718081153,0.0839789671292997,-0.45921010736922
"LTN1",-0.475455749739237,7.19039694259774,-3.86813591390294,0.000806213607323259,0.0839789671292997,-0.469568925233169
"H2BC14",0.26051527213954,4.20430153230348,3.86651293898299,0.000809428481298525,0.0839789671292997,-0.47308553602283
"KLF9",-0.274384175139276,5.92037121418547,-3.86604177852007,0.000810364153268572,0.0839789671292997,-0.474106399624779
"ENSA",-0.300437441735275,8.71446763448622,-3.85642318562369,0.000829701144651947,0.0849367527051357,-0.49494382769765
"HNRNPA3",-0.314224316229499,7.96945827964668,-3.85478358364756,0.000833042579722916,0.0849367527051357,-0.498495200107217
